,sku_ID,type,brand_ID,attribute1,attribute2,activate_date,deactivate_date
0,a234e08c57,1.0,c3ab4bf4d9,3.0,60.0,,
1,6449e1fd87,1.0,1d8b4b4c63,2.0,50.0,,
2,09b70fcd83,2.0,eb7d2a675a,3.0,70.0,,
3,acad9fed04,2.0,9b0d3a5fc6,3.0,70.0,,
4,d66bddc96f,2.0,4f65703579,-,100.0,,
5,cca1221be8,2.0,ddb787aeb9,3.0,100.0,,
6,02042d9606,2.0,1cd935548a,2.0,-,,
7,abb24cb58e,2.0,b7e5c0f937,3.0,60.0,,
8,0c9a9ae0be,2.0,cf0544f945,-,-,,
9,c6779aac53,2.0,cf0544f945,-,-,,
10,924eba6741,1.0,a9d8fd0a21,2.0,-,,
11,39ff5c5b1e,1.0,d3b11464d2,3.0,50.0,,
12,fb209ec29d,1.0,a2ff0f7b48,3.0,100.0,,
13,93e45f6367,1.0,054757964e,3.0,80.0,,
14,5483430ce1,2.0,ba249420ea,-,-,,
15,581d5b54c1,2.0,198cec62a1,4.0,100.0,,
16,aefceb7422,2.0,9b0d3a5fc6,3.0,60.0,,
17,63a296cb03,2.0,0b76f3c8dc,-,-,,
18,f29620d093,2.0,adbd559b78,3.0,60.0,,
19,d10b8d2fba,2.0,9b0d3a5fc6,-,-,,
20,d5877aad59,2.0,a2ff0f7b48,3.0,100.0,,
21,715e33266b,2.0,a2ff0f7b48,3.0,100.0,,
22,5f6c227a18,2.0,a2ff0f7b48,4.0,100.0,,
23,c9cc859b7a,2.0,906d0caa60,-,40.0,,
24,39e67c52c6,2.0,0b0f75e8d5,-,-,,
25,4b71006007,2.0,7d883ecf34,3.0,100.0,,
26,88c2ad6484,2.0,529267cc4e,4.0,100.0,,
27,08a61ca4e9,2.0,8a5ee0390f,4.0,100.0,,
28,a3c6e5e9f8,2.0,552d09b59c,-,-,,
29,0d1d64a305,2.0,798bacedb3,-,-,,
30,8afab555cc,2.0,f1d00479ef,2.0,40.0,,
31,e49185e6c1,2.0,9b0d3a5fc6,4.0,-,,
32,67c265a7e3,2.0,7fcb433bba,3.0,100.0,,
33,32257a8103,2.0,03c4806282,3.0,-,,
34,9623873087,2.0,e686890dbc,2.0,60.0,,
35,24371dbf52,2.0,235542bb7b,3.0,-,,
36,3418d59e22,1.0,94b4cdec6a,-,-,,
37,89a4b76166,1.0,c2e19fe77b,1.0,60.0,,
38,ec61c8d853,1.0,fc9c3cb979,3.0,-,,
39,c56544784c,1.0,99d41501ff,3.0,100.0,,
40,8890167ba7,2.0,f2db8acd0a,2.0,100.0,,
41,759b31bde5,2.0,ddb787aeb9,4.0,100.0,,
42,4a1b64c050,2.0,198cec62a1,2.0,100.0,,
43,a2f38db03c,2.0,31e19a2111,2.0,60.0,,
44,3bb49d3278,2.0,9c185fe397,2.0,70.0,,
45,de7715f00e,2.0,787ea7298f,3.0,60.0,,
46,0796a2c783,2.0,8b40ec9ab7,4.0,60.0,,
47,df12a31fc3,2.0,8b40ec9ab7,4.0,60.0,,
48,375d4a9a65,2.0,8b40ec9ab7,4.0,60.0,,
49,78ea5ee36b,2.0,8b40ec9ab7,3.0,100.0,,
50,f51aa35700,2.0,adbd559b78,-,-,,
51,3ef4723684,2.0,42e6445fca,-,-,,
52,00104dbcd7,2.0,5a0b271e15,2.0,100.0,,
53,c061793c17,2.0,8b40ec9ab7,-,-,,
54,703d9da917,2.0,8b40ec9ab7,-,-,,
55,fd378ca5cd,2.0,798bacedb3,3.0,60.0,,
56,9a6895c168,2.0,b74ed760a5,3.0,60.0,,
57,7af1d39e64,1.0,94b4cdec6a,3.0,60.0,,
58,8d643cf7bf,1.0,99d41501ff,3.0,60.0,,2018-03-12
