,user_ID,user_level,first_order_month,plus,gender,age,marital_status,education,city_level,purchase_power
0,000089d6a6,1,2017-08,0,F,26-35,S,3,4,3
1,0000bc018b,3,2016-06,0,F,>=56,M,3,2,3
2,0000d0e5ab,3,2014-06,0,M,26-35,M,3,2,2
3,0000f81d1b,1,2018-02,0,F,26-35,M,2,3,2
4,00012bb423,4,2008-11,1,F,26-35,M,4,1,2
5,00015ff032,3,2015-06,1,M,26-35,M,3,4,1
6,0001aa7059,4,2014-06,0,F,36-45,M,3,4,2
7,0001bbdc89,2,2017-12,0,F,16-25,S,3,2,2
8,0001dc70f4,4,2012-04,1,F,36-45,M,4,2,2
9,0001f75444,3,2013-03,0,F,>=56,S,3,3,3
10,00020f8411,1,2016-11,0,F,36-45,M,-1,4,-1
11,000222f1fd,1,2016-01,0,F,26-35,S,2,3,2
12,0002e577c8,3,2013-12,0,F,16-25,S,2,1,2
13,00039f650a,4,2015-04,0,M,26-35,S,4,-1,2
14,0003bc5bec,2,2018-03,0,F,26-35,U,-1,4,-1
15,00047a0b67,1,2017-09,0,F,16-25,S,2,3,2
16,00047c5b47,2,2015-03,1,F,26-35,M,2,4,2
17,00050811e9,4,2011-11,1,M,36-45,M,4,2,2
18,000517abd3,4,2015-02,0,F,16-25,M,4,4,2
19,000548bef6,1,2016-03,0,F,16-25,S,3,4,2
20,0005501fd6,4,2014-11,0,F,>=56,M,3,1,2
21,00055f28ba,4,2012-02,0,F,46-55,M,4,1,2
22,000593c349,4,2010-10,0,F,26-35,M,3,1,2
23,000593d7fd,2,2015-06,0,F,26-35,M,3,2,2
24,0005ae954a,4,2011-06,1,M,26-35,S,3,1,2
25,000657af7b,4,2014-01,1,M,26-35,M,3,4,2
26,00074309ac,1,2018-03,0,F,36-45,S,3,1,2
27,0007882c0d,2,2018-01,0,F,16-25,M,-1,3,3
28,0007ae94c5,2,2017-03,0,F,16-25,S,3,1,2
29,0007f71edd,3,2014-10,0,M,26-35,S,3,3,2
30,0008196a01,1,2015-12,0,M,16-25,M,2,4,2
31,00082ccb98,1,2018-03,0,M,16-25,S,3,4,3
32,0008385f5f,2,2017-09,0,M,16-25,S,3,1,2
33,000863aae5,2,2017-04,0,M,46-55,S,2,4,3
34,00091ed708,1,2017-08,0,F,16-25,S,-1,4,3
35,00094a1e39,4,2015-10,0,M,26-35,M,3,-1,1
36,00099d90b7,1,2018-03,0,M,26-35,U,-1,4,-1
37,0009bb7aea,2,2015-09,0,M,16-25,S,3,2,2
38,0009c611e5,4,2012-03,0,F,26-35,M,4,2,2
39,0009e79ab1,1,2018-02,0,F,16-25,S,3,1,2
40,000a552bb0,2,2015-03,0,M,26-35,S,3,2,3
41,000ad0f024,1,2017-06,0,F,16-25,M,3,1,2
42,000ad34fe7,2,2014-06,0,F,26-35,M,3,1,2
43,000b66db6e,3,2016-09,0,F,26-35,M,2,3,2
44,000c413803,3,2016-04,0,M,26-35,M,3,2,3
45,000c423cca,1,2017-12,0,M,16-25,S,3,-1,3
46,000c494c70,1,2017-09,0,F,16-25,U,-1,-1,-1
47,000c4df269,3,2014-01,0,M,16-25,S,2,2,2
48,000c66c723,1,2014-03,0,F,16-25,S,3,3,3
49,000c6e472d,1,2018-03,0,M,16-25,S,2,2,3
50,000cd166be,3,2013-05,0,F,26-35,S,3,1,2
51,000cee3f9c,1,2017-12,0,F,16-25,U,-1,3,-1
52,000d00209c,3,2015-06,0,M,16-25,S,2,2,2
53,000d1480b5,1,2018-03,0,F,16-25,U,-1,2,-1
54,000d1a4102,1,2018-03,0,F,16-25,S,3,4,2
55,000d3c05d7,1,2018-03,0,F,>=56,S,-1,3,4
56,000d4fd8e6,3,2014-07,1,M,26-35,M,3,3,2
57,000e08a234,3,2013-11,1,M,26-35,S,2,4,2
58,000e17d2d3,1,2016-10,0,F,16-25,S,2,4,3
59,000e206287,1,2018-03,0,F,26-35,S,3,1,2
60,000e3e4178,4,2013-05,1,F,26-35,S,4,1,3
61,000eed0cc4,1,2018-03,0,F,16-25,M,3,2,3
62,000f042253,2,2015-10,0,F,26-35,M,2,1,2
63,000f09195a,3,2014-03,0,F,26-35,S,4,2,2
64,000f0deec9,3,2013-04,0,F,26-35,S,3,2,2
65,000f51e18d,1,2018-03,0,F,16-25,U,-1,-1,-1
66,000fb7f95f,3,2014-02,0,F,26-35,M,4,3,3
67,000fc35f2f,4,2013-07,0,F,26-35,S,2,3,3
68,000ffd1a24,4,2011-08,0,M,36-45,M,4,2,2
69,001028a75a,3,2013-08,0,M,36-45,M,3,4,2
70,001058d384,2,2016-01,0,M,16-25,S,3,4,3
71,00105cf94f,2,2016-11,0,M,26-35,M,3,4,2
72,0010bc1b7a,3,2017-11,0,F,26-35,S,2,4,2
73,00110ee71d,1,2017-11,0,F,26-35,S,3,2,2
74,001162058c,1,2017-01,0,F,16-25,U,-1,2,-1
75,0011acbb3e,4,2013-06,0,F,36-45,M,3,1,2
76,0011b4116d,2,2013-10,0,F,26-35,S,3,2,3
77,0011e9589d,4,2011-07,0,M,36-45,M,4,1,2
78,00120a98e7,4,2010-09,1,F,36-45,M,4,1,2
79,00120d2d67,4,2011-09,1,M,26-35,M,3,1,2
80,0012371678,1,2017-12,0,F,16-25,U,-1,3,-1
81,001282c65e,4,2012-01,0,F,36-45,M,4,2,2
82,0012876bfc,3,2016-03,1,M,16-25,S,2,2,2
83,001289cdc0,1,2018-03,0,M,36-45,S,2,1,2
84,0012b61089,2,2016-03,0,M,36-45,M,2,4,2
85,0012f95e63,3,2012-09,0,F,26-35,M,3,2,3
86,0013087e72,3,2015-12,0,F,16-25,S,2,2,2
87,00133be76b,3,2014-06,0,F,26-35,M,3,2,3
88,00134f0baa,4,2010-11,0,F,36-45,M,4,1,2
89,0013634cf8,4,2012-08,1,M,36-45,S,4,4,2
90,0013804aa0,2,2016-06,1,F,16-25,M,3,1,2
91,0013de4ce2,3,2014-05,1,F,36-45,M,3,2,2
92,0013f1e78c,3,2015-05,0,M,26-35,S,3,2,2
93,0014338531,2,2016-07,0,F,36-45,S,2,2,2
94,001457ab1b,2,2015-02,0,F,26-35,S,3,1,2
95,00145c0e32,2,2016-05,0,F,26-35,M,2,4,-1
96,00149180b5,2,2016-06,1,F,26-35,M,3,3,3
97,0014c0157b,1,2017-12,0,F,36-45,M,3,1,2
98,0014c08036,4,2013-08,1,M,16-25,M,3,-1,2
99,0014dc2720,3,2014-06,1,F,26-35,S,3,3,2
100,0014e5b1f8,3,2011-11,0,F,26-35,S,3,3,3
101,001502cbd8,1,2017-10,0,F,26-35,S,-1,3,4
102,0015ad5cc8,1,2017-12,1,M,16-25,S,2,3,3
103,0015c8bdee,3,2015-06,1,F,26-35,M,3,2,2
104,0015d661e6,3,2012-02,0,F,26-35,S,3,2,3
105,0015f8968f,3,2016-05,1,M,26-35,M,3,1,2
106,00163b97aa,4,2014-02,1,M,26-35,M,3,1,2
107,001689d738,3,2016-06,1,F,26-35,M,3,3,2
108,0016f16de9,1,2018-03,0,F,46-55,U,-1,3,-1
109,00170b8c45,4,2013-10,1,M,16-25,S,4,2,2
110,001737c161,1,2017-11,0,F,36-45,M,-1,4,-1
111,0017950650,2,2016-10,0,M,16-25,S,2,-1,3
112,0017b82246,4,2011-01,1,M,26-35,M,3,4,2
113,0017c6abfe,3,2015-05,0,F,26-35,M,3,2,3
114,00182fd9ea,2,2011-06,0,M,36-45,M,4,1,2
115,0018d0f094,2,2014-04,1,F,36-45,M,3,2,3
116,0018f826fb,2,2018-02,0,F,16-25,U,-1,2,-1
117,001917a08e,3,2012-10,0,F,26-35,M,3,2,2
